"word","meaning","source","note"
"ETEVLGL","6TH MINISTER OF MARS",,
"ETHAMZ","COVER, ARE COVERED",,
"ETHARZI","PEACE, IN",,
"ETNBR","Kerubic Archangel EARTH OF AIR",,
"EXARP","AIR NAME, TABLET OF UNION",,
"EXENTASER","MOTHER OF ALL",,
"EXGSD","Kerubic Archangel FIRE OF AIR",,
"EYTPA","Kerubic Archangel WATER OF AIR",,
"F","Orth (F)",,
"F","VISIT",,
"F","VISIT US",,
"FA","arrives","Liber Loagaeth",
"FAAIP","VOICE, YOUR VOICES",,
"FABOAN","POISON, WITH",,
"FAF","Your thought","Lamen",
"FAFEN","TRAIN, YOUR",,
"FAFEN","INTENT, TO THE INTENT THAT",,
"FALOD","the third arrives first","Liber Loagaeth",
"FAM","ENOCHIAN LETTER S",,
"FAMOLET","the Daughter of Light covers the first","Liber Loagaeth",
"FAMSED","the Daughter of Light cxrying in the third","Liber Loagaeth",
"FAONTS","DWELLING",,
"FAORGT","DWELLING PLACE, THE",,
"FARGT","DWELLING PLACES, THE",,
"FARZM","VOICE, YOU LIFTED YOUR VOICES",,
"fatesged","the 4 th heaven","Liber Loagaeth",
"FAXMAL","one with the infinite","Liber Loagaeth",
"FAXS","7336",,
"FIAN","She is visited upon","Liber Loagaeth",
"FIFALZ","WEED OUT",,
"FISIS","EXECUTE, CARRY OUT",,
"FMND","Servient Angel AIR OF AIR",,
"FMOND","Servient Angel AIR OF AIR (VAR)",,
"FR","‘that which you have within yourself'","Holy Table of Practice perimeter",
"FRES","that which you have within you is the fourth","Liber Loagaeth",
"G","Ged (G)",,
"GA","31, make, with, name of an angel; meaning ‘Last breath of the living’, spirits, the fifth angel",,
"GAD","the third angel","Liber Loagaeth",
"GAG","meaning unknown",,
"GAH","SPIRIT, THE SPIRITS",,
"GAHA","EXISTED; BABE OF THE ABYSS",,
"GAHAL","EXISTS",,
"GAHALANA","WILL EXIST",,
"GAHIRE","meaning unknown",,
"GAHOACHMA","I AM THAT I AM, TITLE OF GOD",,
"GAIOL","A GOD-NAME OF WATER TABLET",,
"GAIOL","holy name of 5 letters ruling the element of Water",,
"GAL","GAL, ENOCHIAN LETTER D",,
"GALGOL","meaning unknown",,
"GALSE","the night sky","Liber Loagaeth",
"GALSENOT","one star in a company of stars","Liber Loagaeth","This word was created by accidentally combining two words in Loagaeth and translating them as one."
"GALSUAGAPH","meaning unknown",,"We found this word during our translation of Liber Loagaeth and translate it as: The spirit of Va, the 5 th Angel is the immortal nature."
"GALSUAGATH","meaning unknown",,"We found this word during our translation of Liber Loagaeth and translate it as: The spirit of Va, the 5 th Angel is the immortal nature."
"GALVAH","END, NAME OF AN ANGEL",,
"GAM","[the] watery loins","Liber Loagaeth",
"GAMLED","the watery loins of the Daughter of Light initiate the East","Liber Loagaeth",
"GAMPH","that which is not","Liber Loagaeth",
"GAMPHEDAX","[the] watery loins of the Daughter of Light","Liber Loagaeth",
"GAN","of the angel","Liber Loagaeth",
"GANEBUS","angelic","Liber Loagaeth",
"GANISLAY","NAME OF A DEMON",,
"GANIURAX","meaning unknown",,
"GANPORT","angelic image of the Sun of God","Liber Loagaeth",
"GANPOGAN","the angelic image of the Sun of God is made in the 4th","Liber Loagaeth",
"GAPH","I give Ga","Liber Loagaeth",
"GAR","the Archangel of the East","Liber Loagaeth",
"GARMAL","meaning unknown",,
"GARMES","Spirit of the Daughter of Light","Liber Loagaeth",
"GARNASTEL","meaning unknown",,
"GARP","meaning unknown",,
"GASCAMPHO","Why didst thou so?—as God said to Lucifer.",,
"GASLAH","[this is] Why [did] God [?]","Liber Loagaeth",
"GASSAGEN","DIVINE POWER CREATING ANGEL",,
"GAZAVAA","A FORMED NAMED",,
"GB","slime","Lamen",
"GB-EBAO","Milk of the stars","Lamen",
"GBAL","Servient Angel WATER OF EARTH",,
"GBEAL","Servient Angel WATER OF EARTH",,
"GCHISGE","NOT, ARE NOT",,
"G-DO","THE NAME OF",,
"GE","NOT, IS NOT",,
"GE-OOEEON","THE EYES NEED ONLY TO (Schuler)",,
"GEBABAL","Zodiacal King LIBRA",,
"GEBAN","not being","Liber Loagaeth",
"GECAOND","PART IN ZIM",,
"GED","is not the third","Liber Loagaeth",
"GEBED","not gathering the third","Liber Loagaeth",
"GED","GED, ENOCHIAN LETTER G",,
"GEDO","speech","Liber Loagaeth",
"GEDOONS","PART IN LOE",,
"GEDON","holy speech","Liber Loagaeth",
"GEDOTBAR","BEGOTTEN",,
"GEDVTH","three-fold negative God","Liber Loagaeth",
"GEMPH","without the water","Liber Loagaeth",
"GENA","from the Lord of Hosts (with)","Liber Loagaeth",
"GENILE","from the Lord of Hosts, the Son of Son of Light","Liber Loagaeth",
"GENO","from the Lord of Hosts","Liber Loagaeth",
"GENS","from the 4 th","Liber Loagaeth",
"GENSO","from the Lord of Hosts, the holy Pentagram","Liber Loagaeth",
"GENZE","from the Daughter of Light","Liber Loagaeth",
"GEH","ARE, ART (f.p.sing ""to be"")",,
"GEH","THOU ART",,
"GEIAD","OUR LORD AND MASTER (alt.sp.)",,
"GEM","is not the 9","Liber Loagaeth",
"GEMAN","The Son of Son of Light is not the 9","Liber Loagaeth",
"GEMEGANZA","YOUR WILL BE DONE",,
"GEMEDSOL","from the 3 rd Heaven","Liber Loagaeth",
"GEMNIMB","PART IN TEX",,
"gemph","yield","Liber Loagaeth",
"GENADOL","PART IN DEO",,
"GEPHNA","MEANING UNKNOWN",,
"GER","ENOCHIAN LETTER Q",,
"GER","choose, choice","Liber Loagaeth",
"GERPALO","not remaining in this place","Liber Loagaeth",
"GES","is not the 4 th","Liber Loagaeth",
"GESCO","is not the fourth, but with the holy Pentagram...","Liber Loagaeth",
"GEST","it also is not the 4 th","Liber Loagaeth",
"GETA","OUT OF HIM",,
"GEVAMNA","BEGINNING (?)",,
"GG","possess, inhabit","Holy Table of Practice perimeter",
"GGLPPSA","4TH MINISTER OF VENUS",,
"GI","WITH",,
"GESCOGIER","HARVEST",,
"GIGIPAH","BREATH, LIVING BREATH",,
"GIL","WE WANT (?)",,
"GISA","ENOCHIAN LETTER T",,
"GISG","ENOCHIAN LETTER T",,
"GITHGULCAG","NAME OF A DEMON",,
"GIVI","STRONGER",,
"GIXYAX","EARTHQUAKES",,
"GLA","the first of the Daughters of Light","Lamen",
"GMDNM","Servient Angel WATER OF FIRE",,
"GMICALZ","POWER, A POWERFUL",,
"GMICALZO","POWER, IN P. AND PRESENCE",,
"GMNM","Servient Angel WATER OF FIRE",,
"GNA","MEANING UNKNOWN",,
"GNAY","DO, DOES",,
"GNAY","DO, DOTH",,
"GNETAAB","GOVERNMENT, YOUR GOVERNMENTS",,
"GNONP","GARNISH, I GARNISHED",,
"GRAPAD","Moons (pl.)","Liber Loagaeth",
"GO (LE)","Speaks","Liber Loagaeth",
"GOHED","ONE, EVERLASTING",,
"GOHEL","SAY, SAYS THE FIRST",,
"GOHIA","SAY, WE SAY",,
"GOHO","SAY, SAYETH, SAYS",,
"GOHOL","SAY, SAYING",,
"GOHOLOR","LIFT UP",,
"GOHON","SAY, HAVE SPOKEN",,
"GOHULIM","SAY, IT IS SAID",,
"GOHUS","SAY, I SAY",,
"GOMZIAM","PART IN RII",,
"GON","ENOCHIAN LETTER I,Y",,
"GONO","FAITH",,
"GONSAG","MEANING UNKNOWN",,
"GORS","praise, praises","Liber Loagaeth",
"GOSAA","STRANGER, A",,
"GR","Ancestors","Lamen",
"GRAA","MOON",,
"GRAD","moonlight","Liber Loagaeth",
"GRAM","lunar","Liber Loagaeth",
"GRAMFA","full moon","Liber Loagaeth",
"GRAN","ELDERS, ?VAR ON 'URAN'",,
"GRANSE","the cry of the Elders","Liber Loagaeth",
"GRAPH","ENOCHIAN LETTER E",,
"GRONADOX","The wrath of God","Liber Loagaeth",
"GROSB","STING, A BITTER STING",,
"G-RSAM","ADMIRATION, WITHGRU DEED, FACT",,
"GZE","ONLY (Schuler)",,
"H","Na-hath (H)",,
"HA","meaning unknown",,
"HAATH","WORKS",,
"HABIORO","Senior MARS of AIR",,
"HAGONEL","PRINCE OF HEPTARCHY",,
"HAGONEL","SON OF SON OF LIGHT, SATURN",,
"HAL","meaning unknown",,
"HAMI","CREATURE, LIVING CREATURES",,
"HAMI","CREATURES",,
"HANDA","the seed of God","Liber Loagaeth",
"HANZVQ","the will of God","Liber Loagaeth",
"HAOZPI","Senior VENUS IN AIR TABLET",,
"HARDIMI","AN ANGEL OF THE EARTH TABLET",,
"HARDIMI","AN ANGEL OF ORO",,
"HARG","PLANT, HAS PLANTED",,
"HCOMA","WATER NAME, TABLET OF UNION",,
"HCTGA","A GOD-NAME OF EARTH TABLET",,
"HECOA","SON OF LIGHT, MARS OR JUPITER",,
"HEEOA","A SON OF LIGHT",,
"HELECH","IN OURS (?)",,
"HIPOTGA","Senior SATURN of AIR",,
"HMAGL","Kerubic Archangel EARTH OF",,
"HNLRX","Kerubic Archangel FIRE OF WATER",,
"HOATH","WORSHIPER, TRUE",,
"HOATH","WORSHIPER, THE TRUE",,
"HOLDO","GROANED",,
"HOLQ","MEASURETH",,
"HOLQ","MEASURE, IT IS MEASURED",,
"HOLQ","MEASURED",,
"HOM","LIVE, LIVES (verb)",,
"HOMIL","AGES, THE TRUE",,
"HOMIN","AGE, WITH AGE",,
"HOMTOH","TRIUMPH, VAR ON 'HOM OD TOH'",,
"HONONOL","Zodiacal King LEO",,
"HOXMARCH","FEAR",,
"HOXPOR","Bringing fear","Liber Loagaeth",
"HTAAD","Kerubic Archangel AIR OF WATER",,
"HTDIM","Kerubic Archangel WATER OF",,
"HTMORDA","Senior LUNA of AIR",,
"HTNBR","Kerubic Archangel EARTH OF AIR",,
"HUBAIO","LAMP, VAR ON HUBARO",,
"HUBAR","LAMPS, WITH",,
"HUBARO","LAMPS, THE LANTERNS",,
"HUBARO","LAMPS, LIVING LAMPS",,
"HUCACHA","meaning unknown",,
"HUSEH","meaning unknown",,
"HXGSD","Kerubic Archangel FIR E OF AIR",,
"I","Gon (I)",,
"I","IS",,
"I","SON OF LIGHT, SOL OR VENUS",,
"IAAASD","Sephirotic Cross FIRE OF WATER",,
"IABA","Servient Angel FIRE OF EARTH",,
"IABES","LORD, SUPREME LIFE",,
"IAD","GOD, THE GOD",,
"IAD","GOD",,
"IAD","GOD, YOUR GOD",,
"IAD","GOD, OUR LORD",,
"IAD","GOD, THE LORD",,
"IADNAH","KNOWLEDGE, OF",,
"IADNAMAD","KNOWLEDGE, UNDEFILED K.",,
"IADOIASMOMA","HIM THAT WAS,IS,AND SHALL BE",,
"IADPIL","HIM, TO HIM",,
"IADS","the gods","Liber Loagaeth",
"IAHL","Servient Angel WATER OF EARTH",,
"IAIADIX","HONOR, OF",,
"IAIAL","CONCLUDE US",,
"IAIDA","HIGHEST, THE",,
"IAIDA","HIGHEST, OF THE",,
"IAIDON","GOD, THE ALL-POWERFUL",,
"YALPAMB","PART IN ZEN",,
"IALPIRGAH","FIRE, GOD-FLAMES",,
"IALPON","BURN",,
"IALPOR","FLAMING",,
"IALPRG","BURNING FLAME",,
"IALPRG","BURNINGS FLAMES",,
"IALPRT","FLAME",,
"IAMHL","Servient Angel WATER OF EARTH",,
"IAN","I am the Daughter of Light (also the formal name: IAN)","Liber Loagaeth",
"IANA","A DAUGHTER OF LIGHT",,
"IANBA","Servient Angel FIRE OF EARTH",,
"IAO","IAO","Holy Table of Practice perimeter",
"IAOD","BEGINNING",,
"IAOD","BEGINNING, THE",,
"IAOD","BEGINNING, THE B. OF",,
"IAODAF","BEGINNING, IN THE",,
"YARRY","PROVIDENCE, TO THE",,
"IBAH","A GOD-NAME OF AIR TABLET",,
"ICH","ELEVENTH AETHYR",,
"ICHISGE","AND ARE NOT",,
"ICZHIHA","KING OF EARTH TABLET (VAR)",,
"ICZHIHAL","ELEMENTAL KING OF EARTHICZHIHL KING OF EARTH TABLET (VAR)",,
"IDLUGAM","GIVE, IS GIVEN",,
"IDOIGO","HE WHO SITS ON THE HOLY THRONE",,
"IDOIGO","Sephirotic Cross AIR OF AIR",,
"IEHUSOZ","MERCY, HIS MERCIES",,
"IEH","merciful","Liber Loagaeth",
"IH","SON OF LIGHT (Silver),",,
"IHEDVTHARH","the fixed stars as receivers of the one spread out against the sky","Liber Loagaeth",
"IHEHUDZ","Childrenof the Light","Liber Loagaeth",
"IHEHVDETHA","the fixed stars","Liber Loagaeth",
"IHEHVSCH","Ecstasy, also a formal noun; a name for a star: Augoeides","Liber Loagaeth",
"IIDPO","Servient Angel EARTH OF WATER",,
"IIPO","Servient Angel EARTH OF WATER",,
"ILEMESE","SON OF SON OF LIGHT, LUNA",,
"ILI","FIRST, IN THE",,
"YLLMAFS","3RD MINISTER OF LUNA",,
"ILMO","Angel or Essence of the Sun; heart of the Sun","Table of 12",
"ILPIZ","Sephirotic Cross FIRE OF EARTH",,
"ILRO","Name from the tablet of 12",,
"ILS","THOU, O THOU",,
"YLSI","BEFORE THEE",,
"IMUAMAR","ACT TOWARDS US",,
"INOAS","BECOME, THEY ARE BECOME",,
"INSI","WALKS",,
"INSI","WALK",,
"IOAESPM","3RD MINISTER OF VENUS",,
"IOIAD","HIM THAT LIVES FOREVER",,
"YOLCAM","BRING FORTH",,
"YOLCI","BRINGS FORTH",,
"YOR","ROAR",,
"IP","NOT",,
"IPAM","IS NOT",,
"IPAMIS","CAN NOT BE",,
"IPURAN","SHALL NOT SEE",,
"IRGIL","HOW MANY",,
"YRPOIL","DIVISION",,
"ISR","SON OF LIGHT, VENUS OR SOL",,
"ISRO","PROMISE, THE",,
"YTPA","Kerubic Angel WATER OF AIR",,
"IUBANLADAEC","NAME OF AN ANGEL",,
"IUBENLADECE","VAR OF IUBANLADAEC",,
"IUDRA","MEANING UNKNOWN",,
"IVMD","CALL, IS CALLED",,
"IVMD","CALL, IS CALLED",,
"IXOMAXIP","KNOW, LET HER BE KNOWN",,
"IZAZAS","FRAME, HAVE FRAMEDIZED DAUGHTER OF DAUGHTER OF LIGHT",,
"IZINR","Servient Angel AIR OF EARTH",,
"IZIXP","Servient Angel FIRE OF EARTH",,
"IZIZOP","VESSELS, FROM YOUR HIGHEST",,
"IZNR","Servient Angel AIR OF EARTH",,
"IZXP","Servient Angel FIRE OF EARTH",,
"L","Ur (L)",,
"L","OF THE FIRST",,
"L","FIRST",,
"L","ONE",,
"L","THE FIRST",,
"L","ALL ONE.",,
"LA","Of THE FIRST",,
"LABDGRE","6TH MINISTER OF LUNA",,
"LABNIXP","PART IN BAG",,
"LAF","MEANING UNKNOWN",,
"LAH","MEANING UNKNOWN",,
"LAH","God","Liber Loagaeth",
"LAIAD","TRUTH, THE SECRETS OF",,
"LAIDROM","Senior MARS of EARTH",,
"LAM","except the first","Liber Loagaeth",
"LAN","first God","Liber Loagaeth",
"LANG","MINISTERING ANGELS",,
"LANGED","the first utterance","Liber Loagaeth",
"LANSH","POWER, IN POWER EXALTED",,
"LAOAXRP","Senior LUNA of WATER",,
"LAP","FOR",,
"LAP","FOR",,
"LAPARIN","PART IN ZIM",,
"LARAG","NOR",,
"LARAG","NEITHER",,
"LAS","RICH, THE",,
"LASBEN","NAME OF AN ANGEL",,
"LASCO","strong foundation","Liber Loagaeth",
"LASDI","FEET, MY",,
"LAUACON","PART IN LEA",,
"LAVA","PRAY",,
"LAVAVOTH","Zodiacal King ARIES",,
"LAX","Abbreviation for Alt. Part in LIN; Angel of the East","Liber Loagaeth",
"LAXDIZI","ALT. PART IN LIN",,
"LAZDIXI","PART IN LIT",,
"LBBNAAV","2ND MINISTER OF VENUS",,
"LE","phrase: ‘first,the Daughter of Light’","Liber Loagaeth",
"LEA","SIXTEENTH AETHYR",,
"LEAOC","Servient Angel WATER OF WATER",,
"LEAORIB","4TH MINISTER OF SOL",,
"LED","first, the Daughter of Light to the East","Liber Loagaeth",
"LEENARB","1ST MINISTER OF SOL",,
"LEFA","frist, the Daughter of Light visits the interior","Liber Loagaeth",
"LEFE","first, the Daughter of Light appears","Liber Loagaeth",
"LEHUSAN","MEANING UNKNOWN",,
"LEHUSLACH","MEANING UNKNOWN, SEE LEHUSAN",,
"LEL","SAME, THE SAME",,
"LEOC","Servient Angel WATER OF WATER",,
"LEOHA","First, the Daughter of Light in woe","Liber Loagaeth",
"LEOZ","First, the Daughter of Light beholds the Son of Son of Light","Liber Loagaeth",
"LEPHE","meaning unknown",,
"LEVANAEL","ANGEL OF LUNA",,
"LEVITHMONG","BEASTS OF THE FIELD, FOR THE",,
"LEXARPH","PART IN ZAX",,
"LEN","presense of the Daughter of Light","Liber Loagaeth",
"LENGES","the 22 nd Aethyr is not the fourth","Liber Loagaeth",
"LESCO","first, the Daughter of Light with 5","Liber Loagaeth",
"LGAIOL","Senior VENUS of WATER TABLET",,
"LHCTGA","Senior VENUS of EARTH TABLET",,
"LI","FIRST - VAR ON 'ILI'",,
"LIBA","SON OF SON OF LIGHT, MARS",,
"LIGDISA","Senior SATURN of WATER",,
"LIIANSA","Senior SAT of EARTH",,
"LIL","THE FIRST AIRE",,
"LIL","FIRST AETHYR",,
"LILONON","BRANCHES",,
"LIMLAL","TREASURE, HIS",,
"LIN","22ND AETHYR",,
"LESGAMPH","first, the watery loins of the Daughter of Light","Liber Loagaeth",
"LIT","FIFTH AETHYR",,
"LIXIPSP","WARDEN OF AETHYR 'BAG'",,
"LLACZA","Sephirotic Cross WATER OF AIR",,
"LML","TREASURE",,
"LN","the, that","Holy Table of Practice perimeter",
"LN-NIA-O","THE BEAST (Shueler?)",,
"LNANAEB","2ND MINISTER OF SOL",,
"LO","FIRST, THE",,
"LO","THE FIRST",,
"LOADOHI","KINGDOM, VAR ON 'LONDOH'",,
"LOAGAETH","SPEECH FROM GOD, VAR. 1",,
"LOE","TWELFTH AETHYR",,
"LOGAAH","SPEECH FROM GOD, VAR. 3",,
"LOGAETH","SPEECH FROM GOD, VAR. 2",,
"LOGAH","SPEECH FROM GOD, VAR. 4",,
"LOH","beams","Liber Loagaeth",
"LOHOLO","SHINES",,
"LOLCIS","BUCKLERS (SHIELDS)",,
"LONCHO","FALL",,
"LONDOH","KINGDOMS",,
"LONDOH","KINGDOMSLONSA POWER",,
"LONSHI","POWER, THE",,
"LONSHI","POWER",,
"LONSHIN","POWER, THEIR POWERS",,
"LORSLQ","FLOWERS",,
"LRASD","DISPOSE, TO",,
"LRING","STIR UP",,
"LRL","‘first changing one’; God; movement; work","Table of 12",
"LRL","‘first changing one’; God; movement; work","Holy Table of Practice perimeter",
"LRS","'to charge' (either as in a talisman or as in marching forward), 'to rid or banish' and 'to change or alter'","Holy Table of Practice perimeter",
"LSEANN","The Ecliptic","Lamen",
"LSRAHPM","Senior MARS of WATER",,
"LSSN","constellations, lords","Holy Table of Practice perimeter",
"LUACH","PRAISING ANGELS, VAR. 2",,
"LUAH","PRAISING ANGELS, VAR. 1",,
"LUCAL","NORTH, IN THE NORTH",,
"LUCIFTIAN","BRIGHTNESS, THE",,
"LUCIFTIAN","BRIGHTNESS, ORNAMENTS OF",,
"LUIAHE","HONOR, A SON OF",,
"LULO","TARTAR OR MOTHER OF VINEGAR",,
"LVMRAD","all named to the East are the third","Liber Loagaeth",
"LURFANDO","MEANING UNKNOWN",,
"LUSD","FEET, YOUR",,
"LUSDA","FEET, THEIR",,
"LUSDAN","FEET, WITH",,
"LUSEROTH","MEANING UNKNOWN",,
"lutudah","thrice great","Liber Loagaeth",
"LVCE","the North Star","Liber Loagaeth",
"LZINOPO","Senior LUNA of EARTH",,
"M","Tal (M)",,
"M","EXCEPT",,
"M","OF (Schuler)",,
"M","except, 9","Holy Table of Practice perimeter",
"MA","possess","Liber Loagaeth",
"MAAH","hidden god","Liber Loagaeth",
"MAASI","laid up (stored)",,
"MABBERAM","meaning unknown",,
"MABETH","expanse, the","Liber Loagaeth",
"MABZA","coat, the",,
"MACOM","encompass",,
"MAD","god, your",,
"MAD","god, of",,
"MAD","god, your",,
"MAD","god, of your",,
"MADIMI","DAUGHTER OF DAUGHTER OF LIGHT",,
"MADIMIEL","ANGEL OF MARS",,
"MADOL","God’s creation","Liber Loagaeth",
"MADRIAX","heaven, you heavens",,
"MADRID","iniquity, her",,
"MADRID","iniquities",,
"MADRIIAX","heaven, you heavens",,
"MADZILODARP","GOD OF STRETCH- FORTH- AND- CONQU 327",,
"MAGL","Kerubic Angel EARTH OF WATER",,
"MAGM","Servient Angel WATER OF WATER",,
"MAH","In Darkness","Liber Loagaeth",
"MAHAD","the third is in darkness","Liber Loagaeth",
"MAHORELA","dark heavens (crowley)",,
"MAIM","continuance",,
"MAL","Shortened spelling of the Enochian letter P, 8","Liber Loagaeth",
"MALADI","Sephirotic Cross EARTH OF WATER",,
"MALGM","Servient Angel WATER OF WATER",,
"MALPIRGI","fires of life and increase",,
"MALPRG","fire, through-thrusting",,
"MALPRG","fiery darts",,
"MALS","ENOCHIAN LETTER P",,
"MAN","root of 'in the mind' or ‘subtle body’","Holy Table of Practice perimeter",
"MANCH","in the mind of God/Universal Mind","Liber Loagaeth",
"MANGET","descended of God","Liber Loagaeth",
"MANIN","mind, in the",,
"MANO","the soul of humanity","Liber Loagaeth",
"MARLAN","Son of Light","Liber Loagaeth",
"MAOFFAS","measure, not to be measured",,
"MAPM","9639",,
"MAPSAMA","ANGEL'S NAME, 'TELL THEM'",,
"MAR","the Magickal Childe","Liber Loagaeth",
"MARA","the Son of Light with the Daughter of Light","Liber Loagaeth",
"MARADON","the Son of Light unites with the Daughter of Light","Liber Loagaeth",
"MARB","according",,
"MARS","the Son of Light is the fourth","Liber Loagaeth",
"MARTIBAH","the Magickal Childe is the sacrifice unto the higher self","Liber Loagaeth",
"MARUNE","the Son of Light joins the Daughter of Light","Liber Loagaeth",
"MATA","millenia","Liber Loagaeth",
"MATB","thousand, a",,
"MATHULA","PART IN ZAA",,
"MATORB","echoing (acc. to Laycock)",,
"MAX","of the dissolution","Liber Loagaeth",
"MAZ","SIXTH AETHYR",,
"MUZPA","These are with Joy","Liber Loagaeth",
"ME","DAUGHTER OF LIGHT",,
"MECASMAN","mighty or powerful soul; highest soul; highest heaven","Liber Loagaeth",
"MED","ENOCHIAN LETTER O",,
"MED","the star of five","Liber Loagaeth",
"MEL-","F to speedily encounter (schuler)",,
"MERIFRI","angel",,
"MIAM","continuance",,
"MIAM","continuance",,
"MIAM","continuance, long cont.",,
"MIAN","3663",,
"MICALP","mightier",,
"MICALZO","power, in power",,
"MICAOLI","mighty",,
"MICAOLZ","mighty",,
"MICAOLZ","mighty",,
"MICES","Countenance of the Daughter of Light","Liber Loagaeth",
"MICMA","behold",,
"MICMA","behold",,
"MIINOAG","corner, the corners",,
"MIKETH","wisdom",,
"MINODAL","one who is cornered","Liber Loagaeth",
"MIR","torment, a",,
"MIRC","upon",,
"MIRC","upon",,
"MIRZIND","PART IN UTI",,
"MLU","surge, outpouring",,
"MOLAP","men, of",,
"MOLPAND","PART IN ICH",,
"MOLUI","surges",,
"MOM","moss",,
"MOMAO","crown, the crownsMOMAR crown, to crown",,
"MONASCI","name, the great name",,
"MONONS","heart, the",,
"MOOOAH","it repenteth me",,
"MOR","A GOD-NAME OF EARTH TABLET",,
"MOR","DIAL HCTGA GOD-NAMES OF EARTH",,
"MOREORGRAN","NAME OF AN ANGEL",,
"MOROH","the appearance of the 9 woes","Liber Loagaeth",
"MORVORGRAN","VAR OF MOREORGRAN",,
"MOSPLEH","horn, the horns",,
"MOZ","joy",,
"MOZOD","joy of god",,
"MPH","A GOD-NAME OF WATER TABLET",,
"MPH","ARSL GOD-NAMES OF WATER TABLET",,
"MSAP","Servient Angel FIRE OF EARTH",,
"MSMAP","Servient Angel FIRE OF EARTH",,
"MURIFRI","angel",,
"N","Drun (N)",,
"NA","ENOCHIAN LETTER H",,
"NA","LORD OF HOSTS, TRINITY",,
"NA","(also, the formal name NA)","Liber Loagaeth",
"NADO","fiery God","Liber Loagaeth",
"NAH","glorious","Liber Loagaeth",
"NAHA","Glory of God","Liber Loagaeth",
"NA-","HATH ENOCHIAN LETTER H",,
"NAB","The Infinite God","Liber Loagaeth",
"NABAOMI","PART IN ZEN",,
"NACRO","renewal or resurrection","Liber Loagaeth",
"NACO","Servient Angel EARTH OF AIR",,
"NAGEL","the Lord of Hosts is self-begotten","Liber Loagaeth",
"NAI","meaning unknown",,
"NALVAGE","NAME OF AN ANGEL",,
"NANAEEL","POWER, MY POWER",,
"NANBA","THORNS",,
"NANTA","EARTH NAME, TABLET OF UNION",,
"NAOCO","Servient Angel EARTH OF AIR",,
"NAP","sword","Liber Loagaeth",
"NAPEAI","SWORD, O YE SWORDS",,
"NAPTA","SWORD, WITH TWO-EDGED SWORDS",,
"NASMT","Kerubic Archangel FIRE OF EARTH",,
"NAT","the Lord","Liber Loagaeth",
"NAX","Wrath of God","Liber Loagaeth",
"NAXT","The Ruler of the Earth","Liber Loagaeth",
"NAZ","pillars",,
"NAZ","pillars",,
"NAZPSAD","sword",,
"NBOZA","Kerubic Archangel AIR OF EARTH",,
"NDAZN","Servient Angel EARTH OF WATER",,
"NDZN","Servient Angel EARTH OF WATER",,
"NE","HOLY",,
"NEC","holiness","Liber Loagaeth",
"NECRA","beginning with the Tree-of-Life","Liber Loagaeth",
"NEG","Holy","Lamen",
"NEH","holy God","Liber Loagaeth",
"NES","holiness","Liber Loagaeth",
"NEICIAB","5TH MINISTER OF SOL",,
"NELAPR","Sephirotic Cross WATER OF WATER",,
"NENNI","YOU HAVE BECOME (Crowley)",,
"NEOTPTA","2ND MINISTER OF MARS",,
"NEPH","meaning unknown",,
"NETAAB","government",,
"NGRSATEM","Unknown",,
"NHDD","Servient Angel AIR OF WATER",,
"NHODD","Servient Angel AIR OF WATER",,
"NI","28",,
"NIA","24TH AETHYR",,
"NIDALI","noise, your noises",,
"NIGRANA","PART IN DES",,
"NIIS","come ye",,
"NIIS","come",,
"NIISO","come away",,
"NIISO","come away",,
"NIMB","season",,
"NIZ","’28 of them’ or ‘they, the 28’","Liber Loagaeth",
"NLINZVB","2ND MINISTER OF VENUS",,
"NLLRLNA","6TH MINISTER OF VENUS",,
"NLRX","Kerubic Angel FIRE OF WATER",,
"NN","root of ‘interiority: within, inside, self-hood', power, ‘my power', thorns, the 'Earth Name, Tablet of Union' (NANAEEL)","Holy Table of Practice perimeter",
"NO","the hexagram","Liber Loagaeth",
"NOALMR","Sephirotic Cross AIR OF FIRE",,
"NOALN","BECOME, MAY BE",,
"NOAN","BECOME, YOU ARE BECOME",,
"NOAN","BECOME, THUS YOU ARE",,
"NOAR","BECOME, IS BECOME",,
"NOAS","BECOME",,
"NOASMI","BECOME, LET THEM BECOME",,
"NOBLOH","PALMS, THE (OF HANDS)",,
"NOCAMAL","PART IN LIT",,
"NOCIABI","PART IN OXO",,
"NOCNC","Kerubic Archangel EARTH OF",,
"NOCO","SERVANT, THE",,
"NOCO","SERVANT, THE",,
"NOCO","MINISTER, THE",,
"NOGAHEL","ANGEL OF VENUS",,
"NOGES","the Hexagram is not the fourth","Liber Loagaeth",
"NOIB","YEA",,
"NOL","the first hexagram","Liber Loagaeth",
"NOMIG","EVEN AS",,
"NONCA","UNTO YOU",,
"NONCF","YOU",,
"NONCF","YOU",,
"NONCI","YOU, O YOU",,
"NONCP","YOU, FOR YOU",,
"NONNIS","You come away","Lamen",
"NOONMAN","5TH MINISTER OF MARS",,
"NOR","SONS, YOUNOR SONS",,
"NOROMI","SONS, O YOU SONS",,
"NORZ","SIX",,
"NOSTOAH","IT WAS (?)",,
"NOT","inside","Liber Loagaeth",
"NOTHOA","MIDST, IN THE",,
"NPHRA","Kerubic Archangel WATER OF",,
"NPNT","Servient Angel FIRE OF AIR",,
"NPRNT","Servient Angel FIRE OF AIR",,
"NRPCRRB","5TH MINISTER OF MERCURY",,
