"key","subkey","enochianLatin","enochianTransliteration","english"
17,36,"IAIDA","Iaida","of the Highest."
18,1,,,"O thow"
18,2,,,"mighty"
18,3,,,"light"
18,4,,,"and"
18,5,,,"burning flame"
18,6,,,"of comfort"
18,7,,,"which"
18,8,,,"openest"
18,9,,,"the glory"
18,10,,,"of God"
18,11,,,"to the center"
18,12,,,"of the erth"
18,13,,,"In whome"
18,14,,,"the secrets of truth"
18,15,,,"6332"
18,16,,,"have"
18,17,,,"their abiding"
18,18,,,"which"
18,19,,,"is called"
18,20,,,"in thy Kingdome"
18,21,,,"IOYE"
18,22,,,"and"
18,23,,,"not to be measured"
18,24,,,"Be thow"
18,25,,,"a wyndow"
18,26,,,"of comfort"
18,27,,,"vnto me."
18,28,"ZACAR","ZACAR","Move"
18,29,"OD","od","and"
18,30,"ZAMRAN","ZAMRAN","shew yourselves"
18,31,"ODO","odo","Open"
18,32,"CICLE","cicle","the mysteries"
18,33,"QAA","Qäa","of your Creation"
18,34,"ZORGE","zorge","Be friendely unto me"
18,35,"LAP","Lap","for"
18,36,"ZIRDO","zirdo","I am"
18,37,"NOCO","Noco","the servant"
18,38,"MAD","MAD","of the same your God"
18,39,"HOATH","Hoath","the true worshipper"
18,40,"IAIDA","Iaida.","of the Highest."
